GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Uaa,com.houselawlez.microtemplate.repository,CustomAuditEventRepository,12,122,2,10,3,28,3,7,1,3
Uaa,com.houselawlez.microtemplate.config.dbmigrations,InitialSetupMigration,0,222,0,0,0,66,0,3,0,3
Uaa,com.houselawlez.microtemplate.domain,User,0,196,0,8,0,50,0,34,0,30
Uaa,com.houselawlez.microtemplate.domain,PersistentAuditEvent,0,95,0,8,0,24,0,18,0,14
Uaa,com.houselawlez.microtemplate.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
Uaa,com.houselawlez.microtemplate.domain,Authority,0,45,0,4,0,11,0,8,0,6
Uaa,com.houselawlez.microtemplate.service.util,RandomUtil,0,9,0,0,0,3,0,3,0,3
Uaa,com.houselawlez.microtemplate.web.rest.errors,ExceptionTranslator,27,170,4,10,9,37,5,9,1,6
Uaa,com.houselawlez.microtemplate.web.rest.errors,InvalidPasswordException,0,6,0,0,0,2,0,1,0,1
Uaa,com.houselawlez.microtemplate.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Uaa,com.houselawlez.microtemplate.web.rest.errors,ErrorConstants,0,22,0,0,0,7,0,1,0,1
Uaa,com.houselawlez.microtemplate.web.rest.errors,LoginAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Uaa,com.houselawlez.microtemplate.web.rest.errors,EmailAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
Uaa,com.houselawlez.microtemplate.web.rest.errors,EmailNotFoundException,0,6,0,0,0,2,0,1,0,1
Uaa,com.houselawlez.microtemplate.web.rest.errors,BadRequestAlertException,0,54,0,0,0,12,0,5,0,5
Uaa,com.houselawlez.microtemplate.web.rest,UserResource,0,203,0,14,0,39,0,14,0,7
Uaa,com.houselawlez.microtemplate.web.rest,AccountResource,12,188,2,20,1,47,3,20,1,11
Uaa,com.houselawlez.microtemplate.web.rest,AuditResource,0,60,0,0,0,12,0,4,0,4
Uaa,com.houselawlez.microtemplate.web.rest,AccountResource.AccountResourceException,0,4,0,0,0,2,0,1,0,1
Uaa,com.houselawlez.microtemplate,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Uaa,com.houselawlez.microtemplate,UaaApp,122,24,12,2,27,8,9,3,2,3
Uaa,com.houselawlez.microtemplate.config,JacksonConfiguration,0,23,0,0,0,6,0,6,0,6
Uaa,com.houselawlez.microtemplate.config,LoggingConfiguration.LogbackLoggerContextListener,21,32,6,2,6,10,6,4,2,4
Uaa,com.houselawlez.microtemplate.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Uaa,com.houselawlez.microtemplate.config,UaaProperties,0,19,0,0,0,5,0,3,0,3
Uaa,com.houselawlez.microtemplate.config,UaaProperties.WebClientConfiguration,16,27,0,0,8,9,4,5,4,5
Uaa,com.houselawlez.microtemplate.config,WebConfigurer,43,76,6,2,9,18,5,4,1,4
Uaa,com.houselawlez.microtemplate.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Uaa,com.houselawlez.microtemplate.config,UaaWebSecurityConfiguration,7,91,0,0,2,21,0,6,0,6
Uaa,com.houselawlez.microtemplate.config,DefaultProfileUtil,13,0,0,0,4,0,1,0,1,0
Uaa,com.houselawlez.microtemplate.config,CacheConfiguration,155,135,7,3,27,31,7,6,3,5
Uaa,com.houselawlez.microtemplate.config,DatabaseConfiguration,0,62,0,0,0,15,0,5,0,5
Uaa,com.houselawlez.microtemplate.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Uaa,com.houselawlez.microtemplate.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Uaa,com.houselawlez.microtemplate.config,LoggingConfiguration,7,451,8,12,0,112,7,18,0,15
Uaa,com.houselawlez.microtemplate.config,UaaProperties.KeyStore,12,21,0,0,6,7,3,4,3,4
Uaa,com.houselawlez.microtemplate.config,CloudDatabaseConfiguration,98,0,2,0,22,0,7,0,6,0
Uaa,com.houselawlez.microtemplate.config,UaaConfiguration.ResourceServerConfiguration,4,147,0,0,0,34,1,3,1,3
Uaa,com.houselawlez.microtemplate.config,UaaConfiguration,0,210,0,0,0,47,0,7,0,7
Uaa,com.houselawlez.microtemplate.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Uaa,com.houselawlez.microtemplate.web.rest.vm,ManagedUserVM,10,10,0,0,2,5,1,3,1,3
Uaa,com.houselawlez.microtemplate.web.rest.vm,KeyAndPasswordVM,0,17,0,0,0,7,0,5,0,5
Uaa,com.houselawlez.microtemplate.security,SecurityUtils,62,19,3,1,13,6,8,2,6,2
Uaa,com.houselawlez.microtemplate.security,IatTokenEnhancer,33,3,2,0,9,1,3,1,2,1
Uaa,com.houselawlez.microtemplate.security,UserNotActivatedException,5,4,0,0,2,2,1,1,1,1
Uaa,com.houselawlez.microtemplate.security,SpringSecurityAuditorAware,0,9,0,0,0,2,0,2,0,2
Uaa,com.houselawlez.microtemplate.security,DomainUserDetailsService,34,97,0,4,0,20,3,7,3,5
Uaa,com.houselawlez.microtemplate.service,AuditEventService,0,52,0,0,0,12,0,4,0,4
Uaa,com.houselawlez.microtemplate.service,UserService,18,616,2,10,3,162,4,31,2,27
Uaa,com.houselawlez.microtemplate.service,MailService,7,176,1,1,1,39,1,6,0,6
Uaa,com.houselawlez.microtemplate.service.mapper,UserMapper,0,118,0,6,0,37,0,11,0,8
Uaa,com.houselawlez.microtemplate.aop.logging,LoggingAspect,177,0,10,0,24,0,10,0,5,0
Uaa,com.houselawlez.microtemplate.service.dto,UserDTO,0,242,0,0,0,60,0,29,0,29
Uaa,com.houselawlez.microtemplate.service.dto,PasswordChangeDTO,0,26,0,0,0,12,0,6,0,6
Uaa,com.houselawlez.microtemplate.config.audit,AuditEventConverter,42,84,8,8,10,19,7,6,1,4
